Iso3,Location Name,AMRO subregions,Year,Sex,Age group,Measure Name En,Metric Name En,Value,Value Low,Value Up
ARG,Argentina,Southern Cone,2020,Male,50-64 years,Disability-Adjusted Life Years (DALYs),Rate,"1,961.18","1,189.54","2,984.75"
ARG,Argentina,Southern Cone,2020,Male,50-64 years,Years Lived with Disability (YLDs),Rate,"1,951.72","1,180.08","2,975.30"
ARG,Argentina,Southern Cone,2020,Male,55-59 years,Disability-Adjusted Life Years (DALYs),Rate,"1,958.81","1,176.17","3,004.36"
ARG,Argentina,Southern Cone,2020,Male,55-59 years,Years Lived with Disability (YLDs),Rate,"1,947.74","1,165.10","2,993.28"
ARG,Argentina,Southern Cone,2020,Male,60-64 years,Disability-Adjusted Life Years (DALYs),Rate,"1,787.71","1,080.25","2,769.23"
ARG,Argentina,Southern Cone,2020,Male,60-64 years,Years Lived with Disability (YLDs),Rate,"1,773.28","1,065.82","2,754.80"
ARG,Argentina,Southern Cone,2020,Male,65-69 years,Disability-Adjusted Life Years (DALYs),Rate,"1,624.47",969.48,"2,493.14"
ARG,Argentina,Southern Cone,2020,Male,65-69 years,Years Lived with Disability (YLDs),Rate,"1,617.08",962.09,"2,485.76"
ARG,Argentina,Southern Cone,2020,Male,65-74 years,Disability-Adjusted Life Years (DALYs),Rate,"1,561.27",935.00,"2,388.73"
ARG,Argentina,Southern Cone,2020,Male,65-74 years,Years Lived with Disability (YLDs),Rate,"1,551.91",925.64,"2,379.37"
ARG,Argentina,Southern Cone,2020,Male,70-74 years,Disability-Adjusted Life Years (DALYs),Rate,"1,479.34",890.30,"2,253.37"
ARG,Argentina,Southern Cone,2020,Male,70-74 years,Years Lived with Disability (YLDs),Rate,"1,467.43",878.39,"2,241.46"
ARG,Argentina,Southern Cone,2020,Male,75-79 years,Disability-Adjusted Life Years (DALYs),Rate,"1,335.42",787.20,"2,048.98"
ARG,Argentina,Southern Cone,2020,Male,75-79 years,Years Lived with Disability (YLDs),Rate,"1,321.22",773.00,"2,034.79"
ARG,Argentina,Southern Cone,2020,Male,75+ years,Disability-Adjusted Life Years (DALYs),Rate,"1,248.18",734.17,"1,938.14"
ARG,Argentina,Southern Cone,2020,Male,75+ years,Years Lived with Disability (YLDs),Rate,"1,229.81",715.80,"1,919.77"
ARG,Argentina,Southern Cone,2020,Male,80-84 years,Disability-Adjusted Life Years (DALYs),Rate,"1,228.41",727.96,"1,918.47"
ARG,Argentina,Southern Cone,2020,Male,80-84 years,Years Lived with Disability (YLDs),Rate,"1,196.95",696.49,"1,887.00"
ARG,Argentina,Southern Cone,2020,Male,85+ years,Disability-Adjusted Life Years (DALYs),Rate,"1,065.37",614.73,"1,698.06"
ARG,Argentina,Southern Cone,2020,Male,85+ years,Years Lived with Disability (YLDs),Rate,"1,055.66",605.02,"1,688.36"
ARG,Argentina,Southern Cone,2020,Male,<1 year,Disability-Adjusted Life Years (DALYs),Rate,325.55,207.05,479.81
ARG,Argentina,Southern Cone,2020,Male,<1 year,Years Lived with Disability (YLDs),Rate,325.55,207.05,479.81
ARG,Argentina,Southern Cone,2020,Male,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,"1,932.34","1,128.61","2,991.31"
ARG,Argentina,Southern Cone,2020,Male,Age-standardized,Years Lived with Disability (YLDs),Rate,"1,925.90","1,122.18","2,984.88"
ARG,Argentina,Southern Cone,2020,Male,All ages,Disability-Adjusted Life Years (DALYs),Rate,"1,939.39","1,133.79","3,000.98"
ARG,Argentina,Southern Cone,2020,Male,All ages,Years Lived with Disability (YLDs),Rate,"1,932.66","1,127.07","2,994.25"
ARG,Argentina,Southern Cone,2020,Female,0-4 years,Disability-Adjusted Life Years (DALYs),Rate,190.34,110.13,296.85
ARG,Argentina,Southern Cone,2020,Female,0-4 years,Years Lived with Disability (YLDs),Rate,190.34,110.13,296.85
ARG,Argentina,Southern Cone,2020,Female,0-14 years,Disability-Adjusted Life Years (DALYs),Rate,"1,033.82",542.87,"1,677.88"
ARG,Argentina,Southern Cone,2020,Female,0-14 years,Years Lived with Disability (YLDs),Rate,"1,030.37",539.43,"1,674.43"
ARG,Argentina,Southern Cone,2020,Female,0-19 years,Disability-Adjusted Life Years (DALYs),Rate,"1,581.22",861.97,"2,514.26"
ARG,Argentina,Southern Cone,2020,Female,0-19 years,Years Lived with Disability (YLDs),Rate,"1,576.43",857.18,"2,509.48"
ARG,Argentina,Southern Cone,2020,Female,0-24 years,Disability-Adjusted Life Years (DALYs),Rate,"1,965.65","1,089.11","3,098.09"
ARG,Argentina,Southern Cone,2020,Female,0-24 years,Years Lived with Disability (YLDs),Rate,"1,960.14","1,083.61","3,092.58"
ARG,Argentina,Southern Cone,2020,Female,0-27 days,Disability-Adjusted Life Years (DALYs),Rate,151.14,91.95,231.89
ARG,Argentina,Southern Cone,2020,Female,0-27 days,Years Lived with Disability (YLDs),Rate,151.14,91.95,231.89
ARG,Argentina,Southern Cone,2020,Female,1-4 years,Disability-Adjusted Life Years (DALYs),Rate,197.53,113.17,310.00
ARG,Argentina,Southern Cone,2020,Female,1-4 years,Years Lived with Disability (YLDs),Rate,197.53,113.17,310.00
ARG,Argentina,Southern Cone,2020,Female,1-9 years,Disability-Adjusted Life Years (DALYs),Rate,511.59,266.26,838.02
ARG,Argentina,Southern Cone,2020,Female,1-9 years,Years Lived with Disability (YLDs),Rate,508.71,263.38,835.14
ARG,Argentina,Southern Cone,2020,Female,1-11 months,Disability-Adjusted Life Years (DALYs),Rate,155.67,95.68,232.84
ARG,Argentina,Southern Cone,2020,Female,1-11 months,Years Lived with Disability (YLDs),Rate,155.67,95.68,232.84
ARG,Argentina,Southern Cone,2020,Female,5-9 years,Disability-Adjusted Life Years (DALYs),Rate,747.97,381.48,"1,235.44"
ARG,Argentina,Southern Cone,2020,Female,5-9 years,Years Lived with Disability (YLDs),Rate,742.92,376.43,"1,230.39"
ARG,Argentina,Southern Cone,2020,Female,10-14 years,Disability-Adjusted Life Years (DALYs),Rate,"2,123.67","1,117.29","3,435.74"
ARG,Argentina,Southern Cone,2020,Female,10-14 years,Years Lived with Disability (YLDs),Rate,"2,118.64","1,112.26","3,430.70"
ARG,Argentina,Southern Cone,2020,Female,10-24 years,Disability-Adjusted Life Years (DALYs),Rate,"2,961.25","1,650.86","4,648.36"
ARG,Argentina,Southern Cone,2020,Female,10-24 years,Years Lived with Disability (YLDs),Rate,"2,953.82","1,643.43","4,640.93"
ARG,Argentina,Southern Cone,2020,Female,15-19 years,Disability-Adjusted Life Years (DALYs),Rate,"3,263.96","1,842.89","5,085.40"
ARG,Argentina,Southern Cone,2020,Female,15-19 years,Years Lived with Disability (YLDs),Rate,"3,255.07","1,834.01","5,076.51"
ARG,Argentina,Southern Cone,2020,Female,15-24 years,Disability-Adjusted Life Years (DALYs),Rate,"3,391.74","1,925.09","5,271.60"
ARG,Argentina,Southern Cone,2020,Female,15-24 years,Years Lived with Disability (YLDs),Rate,"3,383.08","1,916.43","5,262.94"
ARG,Argentina,Southern Cone,2020,Female,20-24 years,Disability-Adjusted Life Years (DALYs),Rate,"3,518.42","2,006.58","5,456.21"
ARG,Argentina,Southern Cone,2020,Female,20-24 years,Years Lived with Disability (YLDs),Rate,"3,509.98","1,998.14","5,447.77"
ARG,Argentina,Southern Cone,2020,Female,25-29 years,Disability-Adjusted Life Years (DALYs),Rate,"3,397.34","1,998.83","5,161.79"
ARG,Argentina,Southern Cone,2020,Female,25-29 years,Years Lived with Disability (YLDs),Rate,"3,393.25","1,994.73","5,157.69"
ARG,Argentina,Southern Cone,2020,Female,25-49 years,Disability-Adjusted Life Years (DALYs),Rate,"3,192.08","1,911.96","4,805.47"
ARG,Argentina,Southern Cone,2020,Female,25-49 years,Years Lived with Disability (YLDs),Rate,"3,188.56","1,908.45","4,801.96"
ARG,Argentina,Southern Cone,2020,Female,30-34 years,Disability-Adjusted Life Years (DALYs),Rate,"3,242.94","1,949.05","4,890.13"
ARG,Argentina,Southern Cone,2020,Female,30-34 years,Years Lived with Disability (YLDs),Rate,"3,239.06","1,945.18","4,886.26"
ARG,Argentina,Southern Cone,2020,Female,35-39 years,Disability-Adjusted Life Years (DALYs),Rate,"3,190.26","1,921.97","4,700.78"
ARG,Argentina,Southern Cone,2020,Female,35-39 years,Years Lived with Disability (YLDs),Rate,"3,190.26","1,921.97","4,700.78"
ARG,Argentina,Southern Cone,2020,Female,40-44 years,Disability-Adjusted Life Years (DALYs),Rate,"3,109.98","1,863.74","4,717.81"
ARG,Argentina,Southern Cone,2020,Female,40-44 years,Years Lived with Disability (YLDs),Rate,"3,109.98","1,863.74","4,717.81"
ARG,Argentina,Southern Cone,2020,Female,45-49 years,Disability-Adjusted Life Years (DALYs),Rate,"2,961.09","1,797.86","4,466.54"
ARG,Argentina,Southern Cone,2020,Female,45-49 years,Years Lived with Disability (YLDs),Rate,"2,950.55","1,787.32","4,456.01"
ARG,Argentina,Southern Cone,2020,Female,50-54 years,Disability-Adjusted Life Years (DALYs),Rate,"2,735.79","1,691.08","4,047.78"
ARG,Argentina,Southern Cone,2020,Female,50-54 years,Years Lived with Disability (YLDs),Rate,"2,728.45","1,683.74","4,040.44"
ARG,Argentina,Southern Cone,2020,Female,50-64 years,Disability-Adjusted Life Years (DALYs),Rate,"2,516.01","1,526.24","3,766.64"
ARG,Argentina,Southern Cone,2020,Female,50-64 years,Years Lived with Disability (YLDs),Rate,"2,509.18","1,519.41","3,759.81"
ARG,Argentina,Southern Cone,2020,Female,55-59 years,Disability-Adjusted Life Years (DALYs),Rate,"2,511.66","1,510.18","3,746.87"
ARG,Argentina,Southern Cone,2020,Female,55-59 years,Years Lived with Disability (YLDs),Rate,"2,508.16","1,506.68","3,743.36"
ARG,Argentina,Southern Cone,2020,Female,60-64 years,Disability-Adjusted Life Years (DALYs),Rate,"2,268.70","1,354.58","3,465.64"
ARG,Argentina,Southern Cone,2020,Female,60-64 years,Years Lived with Disability (YLDs),Rate,"2,258.85","1,344.74","3,455.80"
ARG,Argentina,Southern Cone,2020,Female,65-69 years,Disability-Adjusted Life Years (DALYs),Rate,"2,036.86","1,220.40","3,095.24"
ARG,Argentina,Southern Cone,2020,Female,65-69 years,Years Lived with Disability (YLDs),Rate,"2,027.41","1,210.94","3,085.78"
ARG,Argentina,Southern Cone,2020,Female,65-74 years,Disability-Adjusted Life Years (DALYs),Rate,"1,941.87","1,165.87","2,930.42"
ARG,Argentina,Southern Cone,2020,Female,65-74 years,Years Lived with Disability (YLDs),Rate,"1,931.07","1,155.07","2,919.62"
ARG,Argentina,Southern Cone,2020,Female,70-74 years,Disability-Adjusted Life Years (DALYs),Rate,"1,829.44","1,101.34","2,735.34"
ARG,Argentina,Southern Cone,2020,Female,70-74 years,Years Lived with Disability (YLDs),Rate,"1,817.04","1,088.94","2,722.95"
ARG,Argentina,Southern Cone,2020,Female,75-79 years,Disability-Adjusted Life Years (DALYs),Rate,"1,625.90",958.77,"2,460.16"
ARG,Argentina,Southern Cone,2020,Female,75-79 years,Years Lived with Disability (YLDs),Rate,"1,622.64",955.51,"2,456.90"
ARG,Argentina,Southern Cone,2020,Female,75+ years,Disability-Adjusted Life Years (DALYs),Rate,"1,503.64",880.54,"2,304.01"
ARG,Argentina,Southern Cone,2020,Female,75+ years,Years Lived with Disability (YLDs),Rate,"1,496.00",872.90,"2,296.36"
ARG,Argentina,Southern Cone,2020,Female,80-84 years,Disability-Adjusted Life Years (DALYs),Rate,"1,481.84",875.20,"2,271.16"
ARG,Argentina,Southern Cone,2020,Female,80-84 years,Years Lived with Disability (YLDs),Rate,"1,471.08",864.44,"2,260.40"
ARG,Argentina,Southern Cone,2020,Female,85+ years,Disability-Adjusted Life Years (DALYs),Rate,"1,350.41",773.80,"2,113.31"
ARG,Argentina,Southern Cone,2020,Female,85+ years,Years Lived with Disability (YLDs),Rate,"1,339.63",763.02,"2,102.53"
ARG,Argentina,Southern Cone,2020,Female,<1 year,Disability-Adjusted Life Years (DALYs),Rate,155.27,95.35,232.76
ARG,Argentina,Southern Cone,2020,Female,<1 year,Years Lived with Disability (YLDs),Rate,155.27,95.35,232.76
ARG,Argentina,Southern Cone,2020,Female,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,"2,450.49","1,433.02","3,745.63"
ARG,Argentina,Southern Cone,2020,Female,Age-standardized,Years Lived with Disability (YLDs),Rate,"2,445.23","1,427.76","3,740.37"
ARG,Argentina,Southern Cone,2020,Female,All ages,Disability-Adjusted Life Years (DALYs),Rate,"2,434.23","1,426.36","3,717.13"
ARG,Argentina,Southern Cone,2020,Female,All ages,Years Lived with Disability (YLDs),Rate,"2,428.69","1,420.82","3,711.59"
ARG,Argentina,Southern Cone,2021,Male,0-4 years,Disability-Adjusted Life Years (DALYs),Rate,354.59,220.83,533.12
ARG,Argentina,Southern Cone,2021,Male,0-4 years,Years Lived with Disability (YLDs),Rate,354.59,220.83,533.12
ARG,Argentina,Southern Cone,2021,Male,0-14 years,Disability-Adjusted Life Years (DALYs),Rate,"1,076.86",583.13,"1,752.08"
ARG,Argentina,Southern Cone,2021,Male,0-14 years,Years Lived with Disability (YLDs),Rate,"1,075.40",581.67,"1,750.61"
ARG,Argentina,Southern Cone,2021,Male,0-19 years,Disability-Adjusted Life Years (DALYs),Rate,"1,416.42",768.01,"2,309.68"
ARG,Argentina,Southern Cone,2021,Male,0-19 years,Years Lived with Disability (YLDs),Rate,"1,415.32",766.91,"2,308.58"
ARG,Argentina,Southern Cone,2021,Male,0-24 years,Disability-Adjusted Life Years (DALYs),Rate,"1,636.54",890.10,"2,660.82"
ARG,Argentina,Southern Cone,2021,Male,0-24 years,Years Lived with Disability (YLDs),Rate,"1,635.66",889.22,"2,659.94"
ARG,Argentina,Southern Cone,2021,Male,0-27 days,Disability-Adjusted Life Years (DALYs),Rate,322.48,213.05,461.65
ARG,Argentina,Southern Cone,2021,Male,0-27 days,Years Lived with Disability (YLDs),Rate,322.48,213.05,461.65
ARG,Argentina,Southern Cone,2021,Male,1-4 years,Disability-Adjusted Life Years (DALYs),Rate,360.21,223.75,542.35
ARG,Argentina,Southern Cone,2021,Male,1-4 years,Years Lived with Disability (YLDs),Rate,360.21,223.75,542.35
ARG,Argentina,Southern Cone,2021,Male,1-9 years,Disability-Adjusted Life Years (DALYs),Rate,676.58,374.57,"1,090.12"
ARG,Argentina,Southern Cone,2021,Male,1-9 years,Years Lived with Disability (YLDs),Rate,674.16,372.14,"1,087.70"
ARG,Argentina,Southern Cone,2021,Male,1-11 months,Disability-Adjusted Life Years (DALYs),Rate,326.88,205.54,489.40
ARG,Argentina,Southern Cone,2021,Male,1-11 months,Years Lived with Disability (YLDs),Rate,326.88,205.54,489.40
ARG,Argentina,Southern Cone,2021,Male,5-9 years,Disability-Adjusted Life Years (DALYs),Rate,899.12,480.65,"1,475.43"
ARG,Argentina,Southern Cone,2021,Male,5-9 years,Years Lived with Disability (YLDs),Rate,895.00,476.52,"1,471.31"
ARG,Argentina,Southern Cone,2021,Male,10-14 years,Disability-Adjusted Life Years (DALYs),Rate,"1,883.02","1,001.14","3,088.71"
ARG,Argentina,Southern Cone,2021,Male,10-14 years,Years Lived with Disability (YLDs),Rate,"1,883.02","1,001.14","3,088.71"
ARG,Argentina,Southern Cone,2021,Male,10-24 years,Disability-Adjusted Life Years (DALYs),Rate,"2,278.50","1,233.88","3,712.71"
ARG,Argentina,Southern Cone,2021,Male,10-24 years,Years Lived with Disability (YLDs),Rate,"2,278.50","1,233.88","3,712.71"
ARG,Argentina,Southern Cone,2021,Male,15-19 years,Disability-Adjusted Life Years (DALYs),Rate,"2,446.39","1,328.81","4,001.08"
ARG,Argentina,Southern Cone,2021,Male,15-19 years,Years Lived with Disability (YLDs),Rate,"2,446.39","1,328.81","4,001.08"
ARG,Argentina,Southern Cone,2021,Male,15-24 years,Disability-Adjusted Life Years (DALYs),Rate,"2,486.46","1,356.26","4,040.84"
ARG,Argentina,Southern Cone,2021,Male,15-24 years,Years Lived with Disability (YLDs),Rate,"2,486.46","1,356.26","4,040.84"
ARG,Argentina,Southern Cone,2021,Male,20-24 years,Disability-Adjusted Life Years (DALYs),Rate,"2,526.63","1,383.78","4,080.71"
ARG,Argentina,Southern Cone,2021,Male,20-24 years,Years Lived with Disability (YLDs),Rate,"2,526.63","1,383.78","4,080.71"
ARG,Argentina,Southern Cone,2021,Male,25-29 years,Disability-Adjusted Life Years (DALYs),Rate,"2,527.07","1,439.50","3,974.48"
ARG,Argentina,Southern Cone,2021,Male,25-29 years,Years Lived with Disability (YLDs),Rate,"2,522.61","1,435.04","3,970.02"
ARG,Argentina,Southern Cone,2021,Male,25-49 years,Disability-Adjusted Life Years (DALYs),Rate,"2,423.20","1,404.25","3,775.92"
ARG,Argentina,Southern Cone,2021,Male,25-49 years,Years Lived with Disability (YLDs),Rate,"2,419.11","1,400.16","3,771.83"
ARG,Argentina,Southern Cone,2021,Male,30-34 years,Disability-Adjusted Life Years (DALYs),Rate,"2,486.32","1,442.39","3,917.16"
ARG,Argentina,Southern Cone,2021,Male,30-34 years,Years Lived with Disability (YLDs),Rate,"2,486.32","1,442.39","3,917.16"
ARG,Argentina,Southern Cone,2021,Male,35-39 years,Disability-Adjusted Life Years (DALYs),Rate,"2,454.46","1,441.07","3,764.05"
ARG,Argentina,Southern Cone,2021,Male,35-39 years,Years Lived with Disability (YLDs),Rate,"2,441.22","1,427.84","3,750.81"
ARG,Argentina,Southern Cone,2021,Male,40-44 years,Disability-Adjusted Life Years (DALYs),Rate,"2,358.20","1,366.81","3,655.40"
ARG,Argentina,Southern Cone,2021,Male,40-44 years,Years Lived with Disability (YLDs),Rate,"2,358.20","1,366.81","3,655.40"
ARG,Argentina,Southern Cone,2021,Male,45-49 years,Disability-Adjusted Life Years (DALYs),Rate,"2,247.13","1,310.51","3,493.93"
ARG,Argentina,Southern Cone,2021,Male,45-49 years,Years Lived with Disability (YLDs),Rate,"2,244.51","1,307.88","3,491.31"
ARG,Argentina,Southern Cone,2021,Male,50-54 years,Disability-Adjusted Life Years (DALYs),Rate,"2,096.47","1,245.17","3,231.13"
ARG,Argentina,Southern Cone,2021,Male,50-54 years,Years Lived with Disability (YLDs),Rate,"2,091.54","1,240.23","3,226.19"
ARG,Argentina,Southern Cone,2021,Male,50-64 years,Disability-Adjusted Life Years (DALYs),Rate,"1,955.69","1,155.50","3,021.31"
ARG,Argentina,Southern Cone,2021,Male,50-64 years,Years Lived with Disability (YLDs),Rate,"1,946.42","1,146.23","3,012.04"
ARG,Argentina,Southern Cone,2021,Male,55-59 years,Disability-Adjusted Life Years (DALYs),Rate,"1,944.68","1,146.99","2,998.75"
ARG,Argentina,Southern Cone,2021,Male,55-59 years,Years Lived with Disability (YLDs),Rate,"1,939.18","1,141.49","2,993.25"
ARG,Argentina,Southern Cone,2021,Male,60-64 years,Disability-Adjusted Life Years (DALYs),Rate,"1,796.38","1,055.68","2,790.69"
ARG,Argentina,Southern Cone,2021,Male,60-64 years,Years Lived with Disability (YLDs),Rate,"1,777.63","1,036.93","2,771.94"
ARG,Argentina,Southern Cone,2021,Male,65-69 years,Disability-Adjusted Life Years (DALYs),Rate,"1,628.02",937.81,"2,553.19"
ARG,Argentina,Southern Cone,2021,Male,65-69 years,Years Lived with Disability (YLDs),Rate,"1,624.74",934.53,"2,549.91"
ARG,Argentina,Southern Cone,2021,Male,65-74 years,Disability-Adjusted Life Years (DALYs),Rate,"1,563.06",903.86,"2,460.27"
ARG,Argentina,Southern Cone,2021,Male,65-74 years,Years Lived with Disability (YLDs),Rate,"1,557.76",898.56,"2,454.97"
ARG,Argentina,Southern Cone,2021,Male,70-74 years,Disability-Adjusted Life Years (DALYs),Rate,"1,479.18",860.02,"2,340.31"
ARG,Argentina,Southern Cone,2021,Male,70-74 years,Years Lived with Disability (YLDs),Rate,"1,471.28",852.12,"2,332.40"
ARG,Argentina,Southern Cone,2021,Male,75-79 years,Disability-Adjusted Life Years (DALYs),Rate,"1,334.26",767.41,"2,074.65"
ARG,Argentina,Southern Cone,2021,Male,75-79 years,Years Lived with Disability (YLDs),Rate,"1,329.68",762.82,"2,070.07"
ARG,Argentina,Southern Cone,2021,Male,75+ years,Disability-Adjusted Life Years (DALYs),Rate,"1,245.41",714.39,"1,954.82"
ARG,Argentina,Southern Cone,2021,Male,75+ years,Years Lived with Disability (YLDs),Rate,"1,236.94",705.91,"1,946.34"
ARG,Argentina,Southern Cone,2021,Male,80-84 years,Disability-Adjusted Life Years (DALYs),Rate,"1,215.13",698.33,"1,914.09"
ARG,Argentina,Southern Cone,2021,Male,80-84 years,Years Lived with Disability (YLDs),Rate,"1,202.15",685.36,"1,901.12"
ARG,Argentina,Southern Cone,2021,Male,85+ years,Disability-Adjusted Life Years (DALYs),Rate,"1,071.83",607.93,"1,720.56"
ARG,Argentina,Southern Cone,2021,Male,85+ years,Years Lived with Disability (YLDs),Rate,"1,060.29",596.39,"1,709.02"
ARG,Argentina,Southern Cone,2021,Male,<1 year,Disability-Adjusted Life Years (DALYs),Rate,326.50,206.20,486.97
ARG,Argentina,Southern Cone,2021,Male,<1 year,Years Lived with Disability (YLDs),Rate,326.50,206.20,486.97
ARG,Argentina,Southern Cone,2021,Male,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,"1,928.86","1,096.50","3,049.60"
ARG,Argentina,Southern Cone,2021,Male,Age-standardized,Years Lived with Disability (YLDs),Rate,"1,925.29","1,092.94","3,046.04"
ARG,Argentina,Southern Cone,2021,Male,All ages,Disability-Adjusted Life Years (DALYs),Rate,"1,944.78","1,106.47","3,073.02"
ARG,Argentina,Southern Cone,2021,Male,All ages,Years Lived with Disability (YLDs),Rate,"1,941.00","1,102.69","3,069.24"
ARG,Argentina,Southern Cone,2021,Female,0-4 years,Disability-Adjusted Life Years (DALYs),Rate,192.46,110.89,301.86
ARG,Argentina,Southern Cone,2021,Female,0-4 years,Years Lived with Disability (YLDs),Rate,192.46,110.89,301.86
